State,Total_Usage
Maharashtra,215019.6
Gujarat,161031.3
UP,156584.5
Tamil Nadu,149921.6
Rajasthan,108958.4
MP,103736.6
Karnataka,101690.3
Telangana,93245.5
Andhra Pradesh,87751.6
Punjab,70542.6
West Bengal,69238.5
Haryana,69085.8
Chhattisgarh,41820.8
Delhi,41637.4
Bihar,41478.3
Odisha,40133.8
Kerala,35956.9
J&K,22042.4
Uttarakhand,18051.7
HP,13266.4
Assam,12462.8
Jharkhand,11880.6
DNH,8218.7
Goa,5528.5
Pondy,3727.0
Meghalaya,2815.1
Chandigarh,2068.4
Tripura,2038.4
Manipur,1243.0
Nagaland,1077.4
Arunachal Pradesh,1052.5
Mizoram,850.4
Sikkim,641.7
